date,holiday
2016-06-19,Fete des peres
2016-06-23,Fete nationale Luxembourg
2016-07-06,Vacances scolaires
2016-07-07,Vacances scolaires
2016-07-08,Vacances scolaires
2016-07-09,Vacances scolaires
2016-07-10,Vacances scolaires
2016-07-11,Vacances scolaires
2016-07-12,Vacances scolaires
2016-07-13,Vacances scolaires
2016-07-14,Fete nationale
2016-07-14,Vacances scolaires
2016-07-15,Vacances scolaires
2016-07-16,Vacances scolaires
2016-07-17,Vacances scolaires
2016-07-18,Vacances scolaires
2016-07-19,Vacances scolaires
2016-07-20,Vacances scolaires
2016-07-21,Fete nationale Belgique
2016-07-21,Vacances scolaires
2016-07-22,Vacances scolaires
2016-07-23,Vacances scolaires
2016-07-24,Vacances scolaires
2016-07-25,Vacances scolaires
2016-07-26,Vacances scolaires
2016-07-27,Vacances scolaires
2016-07-28,Vacances scolaires
2016-07-29,Vacances scolaires
2016-07-30,Vacances scolaires
2016-07-31,Vacances scolaires
2016-08-01,Fete nationale Suisse
2016-08-01,Vacances scolaires
2016-08-02,Vacances scolaires
2016-08-03,Vacances scolaires
2016-08-04,Vacances scolaires
2016-08-05,Vacances scolaires
2016-08-06,Vacances scolaires
2016-08-07,Vacances scolaires
2016-08-08,Vacances scolaires
2016-08-09,Vacances scolaires
2016-08-10,Vacances scolaires
2016-08-11,Vacances scolaires
2016-08-12,Vacances scolaires
2016-08-13,Vacances scolaires
2016-08-14,Vacances scolaires
2016-08-15,Assomption
2016-08-15,Vacances scolaires
2016-08-16,Vacances scolaires
2016-08-17,Vacances scolaires
2016-08-18,Vacances scolaires
2016-08-19,Vacances scolaires
2016-08-20,Vacances scolaires
2016-08-21,Vacances scolaires
2016-08-22,Vacances scolaires
2016-08-23,Vacances scolaires
2016-08-24,Vacances scolaires
2016-08-25,Vacances scolaires
2016-08-26,Vacances scolaires
2016-08-27,Vacances scolaires
2016-08-28,Vacances scolaires
2016-08-29,Vacances scolaires
2016-08-30,Vacances scolaires
2016-08-31,Vacances scolaires
2016-10-03,Jour unite nationale Allemagne
2016-10-12,Fete nationale Espagne
2016-10-19,Vacances scolaires
2016-10-20,Vacances scolaires
2016-10-21,Vacances scolaires
2016-10-22,Vacances scolaires
2016-10-23,Vacances scolaires
2016-10-24,Vacances scolaires
2016-10-25,Vacances scolaires
2016-10-26,Vacances scolaires
2016-10-27,Vacances scolaires
2016-10-28,Vacances scolaires
2016-10-29,Vacances scolaires
2016-10-30,Vacances scolaires
2016-10-31,Vacances scolaires
2016-11-01,Toussaint
2016-11-01,Vacances scolaires
2016-11-02,Vacances scolaires
2016-11-04,Anniv vic1erG Italie
2016-11-11,Armistice 1918
2016-12-06,Fete constitution Espagne
2016-12-08,Immac Concep
2016-12-17,Vacances scolaires
2016-12-18,Vacances scolaires
2016-12-19,Vacances scolaires
2016-12-20,Vacances scolaires
2016-12-21,Vacances scolaires
2016-12-22,Vacances scolaires
2016-12-23,Vacances scolaires
2016-12-24,Vacances scolaires
2016-12-25,Noël
2016-12-25,Vacances scolaires
2016-12-26,26DEC
2016-12-26,Vacances scolaires
2016-12-27,Vacances scolaires
2016-12-28,Vacances scolaires
2016-12-29,Vacances scolaires
2016-12-30,Vacances scolaires
2016-12-31,Vacances scolaires
2017-01-01,Nouvel An
2017-01-01,Vacances scolaires
2017-01-02,Vacances scolaires
2017-01-06,Epiphanie Espagne
2017-02-11,Vacances scolaires zone B
2017-02-12,Vacances scolaires zone B
2017-02-13,Vacances scolaires zone B
2017-02-14,Vacances scolaires zone B
2017-02-15,Vacances scolaires zone B
2017-02-16,Vacances scolaires zone B
2017-02-17,Vacances scolaires zone B
2017-02-18,Vacances scolaires zone B
2017-02-19,Vacances scolaires zone B
2017-02-20,Vacances scolaires zone B
2017-02-21,Vacances scolaires zone B
2017-02-22,Vacances scolaires zone B
2017-02-23,Vacances scolaires zone B
2017-02-24,Vacances scolaires zone B
2017-02-25,Vacances scolaires zone B
2017-02-26,Vacances scolaires zone B
2017-02-27,Rosenmontag
2017-04-08,Vacances scolaires zone B
2017-04-09,Vacances scolaires zone B
2017-04-10,Vacances scolaires zone B
2017-04-11,Vacances scolaires zone B
2017-04-12,Vacances scolaires zone B
2017-04-13,Vacances scolaires zone B
2017-04-14,Vacances scolaires zone B
2017-04-14,vendredi saint
2017-04-15,Vacances scolaires zone B
2017-04-16,paques
2017-04-16,Vacances scolaires zone B
2017-04-17,Lundi de paques
2017-04-17,Vacances scolaires zone B
2017-04-18,Vacances scolaires zone B
2017-04-19,Vacances scolaires zone B
2017-04-20,Vacances scolaires zone B
2017-04-21,Vacances scolaires zone B
2017-04-22,Vacances scolaires zone B
2017-04-23,Vacances scolaires zone B
2017-05-01,Fete du travail
2017-05-08,Victoire 1945
2017-05-25,Ascension
2017-05-28,Fete des meres
2017-06-05,Lundi de Pentecote
2017-06-18,Fete des peres
2017-06-23,Fete nationale Luxembourg
2017-07-08,Vacances scolaires
2017-07-09,Vacances scolaires
2017-07-10,Vacances scolaires
2017-07-11,Vacances scolaires
2017-07-12,Vacances scolaires
2017-07-13,Vacances scolaires
2017-07-14,Fete nationale
2017-07-14,Vacances scolaires
2017-07-15,Vacances scolaires
2017-07-16,Vacances scolaires
2017-07-17,Vacances scolaires
2017-07-18,Vacances scolaires
2017-07-19,Vacances scolaires
2017-07-20,Vacances scolaires
2017-07-21,Fete nationale Belgique
2017-07-21,Vacances scolaires
2017-07-22,Vacances scolaires
2017-07-23,Vacances scolaires
2017-07-24,Vacances scolaires
2017-07-25,Vacances scolaires
2017-07-26,Vacances scolaires
2017-07-27,Vacances scolaires
2017-07-28,Vacances scolaires
2017-07-29,Vacances scolaires
2017-07-30,Vacances scolaires
2017-07-31,Vacances scolaires
2017-08-01,Fete nationale Suisse
2017-08-01,Vacances scolaires
2017-08-02,Vacances scolaires
2017-08-03,Vacances scolaires
2017-08-04,Vacances scolaires
2017-08-05,Vacances scolaires
2017-08-06,Vacances scolaires
2017-08-07,Vacances scolaires
2017-08-08,Vacances scolaires
2017-08-09,Vacances scolaires
2017-08-10,Vacances scolaires
2017-08-11,Vacances scolaires
2017-08-12,Vacances scolaires
2017-08-13,Vacances scolaires
2017-08-14,Vacances scolaires
2017-08-15,Assomption
2017-08-15,Vacances scolaires
2017-08-16,Vacances scolaires
2017-08-17,Vacances scolaires
2017-08-18,Vacances scolaires
2017-08-19,Vacances scolaires
2017-08-20,Vacances scolaires
2017-08-21,Vacances scolaires
2017-08-22,Vacances scolaires
2017-08-23,Vacances scolaires
2017-08-24,Vacances scolaires
2017-08-25,Vacances scolaires
2017-08-26,Vacances scolaires
2017-08-27,Vacances scolaires
2017-08-28,Vacances scolaires
2017-08-29,Vacances scolaires
2017-08-30,Vacances scolaires
2017-08-31,Vacances scolaires
2017-09-01,Vacances scolaires
2017-09-02,Vacances scolaires
2017-09-03,Vacances scolaires
2017-10-03,Jour unite nationale Allemagne
2017-10-12,Fete nationale Espagne
2017-10-21,Vacances scolaires
2017-10-22,Vacances scolaires
2017-10-23,Vacances scolaires
2017-10-24,Vacances scolaires
2017-10-25,Vacances scolaires
2017-10-26,Vacances scolaires
2017-10-27,Vacances scolaires
2017-10-28,Vacances scolaires
2017-10-29,Vacances scolaires
2017-10-30,Vacances scolaires
2017-10-31,Vacances scolaires
2017-11-01,Toussaint
2017-11-01,Vacances scolaires
2017-11-02,Vacances scolaires
2017-11-03,Vacances scolaires
2017-11-04,Anniv vic1erG Italie
2017-11-04,Vacances scolaires
2017-11-05,Vacances scolaires
2017-11-11,Armistice 1918
2017-12-06,Fete constitution Espagne
2017-12-08,Immac Concep
2017-12-23,Vacances scolaires
2017-12-24,Vacances scolaires
2017-12-25,Noël
2017-12-25,Vacances scolaires
2017-12-26,26DEC
2017-12-26,Vacances scolaires
2017-12-27,Vacances scolaires
2017-12-28,Vacances scolaires
2017-12-29,Vacances scolaires
2017-12-30,Vacances scolaires
2017-12-31,Vacances scolaires
2018-01-01,Nouvel An
2018-01-01,Vacances scolaires
2018-01-02,Vacances scolaires
2018-01-03,Vacances scolaires
2018-01-04,Vacances scolaires
2018-01-05,Vacances scolaires
2018-01-06,Epiphanie Espagne
2018-01-06,Vacances scolaires
2018-01-07,Vacances scolaires
2018-02-12,Rosenmontag
2018-02-24,Vacances scolaires zone B
2018-02-25,Vacances scolaires zone B
2018-02-26,Vacances scolaires zone B
2018-02-27,Vacances scolaires zone B
2018-02-28,Vacances scolaires zone B
2018-03-01,Vacances scolaires zone B
2018-03-02,Vacances scolaires zone B
2018-03-03,Vacances scolaires zone B
2018-03-04,Vacances scolaires zone B
2018-03-05,Vacances scolaires zone B
2018-03-06,Vacances scolaires zone B
2018-03-07,Vacances scolaires zone B
2018-03-08,Vacances scolaires zone B
2018-03-09,Vacances scolaires zone B
2018-03-10,Vacances scolaires zone B
2018-03-11,Vacances scolaires zone B
2018-03-30,vendredi saint
2018-04-01,paques
2018-04-02,Lundi de paques
2018-04-21,Vacances scolaires zone B
2018-04-22,Vacances scolaires zone B
2018-04-23,Vacances scolaires zone B
2018-04-24,Vacances scolaires zone B
2018-04-25,Vacances scolaires zone B
2018-04-26,Vacances scolaires zone B
2018-04-27,Vacances scolaires zone B
2018-04-28,Vacances scolaires zone B
2018-04-29,Vacances scolaires zone B
2018-04-30,Vacances scolaires zone B
2018-05-01,Fete du travail
2018-05-01,Vacances scolaires zone B
2018-05-02,Vacances scolaires zone B
2018-05-03,Vacances scolaires zone B
2018-05-04,Vacances scolaires zone B
2018-05-05,Vacances scolaires zone B
2018-05-06,Vacances scolaires zone B
2018-05-08,Victoire 1945
2018-05-10,Ascension
2018-05-21,Lundi de Pentecote
2018-05-27,Fete des meres
